"Id","SalePrice"
1461,110100.455313545
1462,149673.658271605
1463,176462.726654727
1464,194234.04839556
1465,211360.955869349
1466,175498.647459209
1467,190003.520423508
1468,165758.159974717
1469,208853.866036144
1470,119636.789798541
1471,173572.388604963
1472,95832.3696333015
1473,92976.145087595
1474,146438.901183796
1475,107664.376912635
1476,339594.816705564
1477,245143.111968693
1478,313479.162546908
1479,308520.68333736
1480,462277.055408865
1481,344476.646358573
1482,221818.211758442
1483,163881.301291021
1484,165013.522595959
1485,186590.93928076
1486,194515.197924828
1487,334312.813476122
1488,235146.351660291
1489,185084.998794697
1490,244597.860074922
1491,191677.986635152
1492,91091.4382072255
1493,198932.251678934
1494,295285.058044217
1495,300626.863037341
1496,236126.849465014
1497,186733.250246897
1498,173587.91970967
1499,164135.416509143
1500,157770.903937866
1501,182496.386206977
1502,159723.799602161
1503,288893.567682444
1504,256084.465453483
1505,230491.488551393
1506,188057.792021004
1507,229791.321366283
1508,185510.458652654
1509,166571.66319602
1510,141031.688402316
1511,142651.603819097
1512,173131.799783239
1513,152145.454790134
1514,149941.122548553
1515,206647.388131293
1516,150111.304165799
1517,172208.785498484
1518,126389.453657203
1519,198507.396366252
1520,126500.869468084
1521,123657.047241481
1522,181552.313700417
1523,113655.196776298
1524,126960.696641848
1525,116067.149823797
1526,114688.046485845
1527,112717.566406544
1528,151590.565126439
1529,136829.760823896
1530,221782.550449694
1531,128400.040670656
1532,97688.6375130966
1533,150309.727497856
1534,126668.278676778
1535,138487.170362754
1536,103031.53353271
1537,64080.1200749719
1538,146134.354546711
1539,185439.43795662
1540,104076.676430529
1541,136061.337127622
1542,133575.790336966
1543,178956.262239482
1544,88046.2922266613
1545,132550.126610911
1546,137864.33642224
1547,134131.152441437
1548,145321.161659879
1549,127388.128040361
1550,133055.161677539
1551,104220.10137531
1552,128656.831557157
1553,136131.976936261
1554,125948.189057429
1555,159234.228873703
1556,100963.057194311
1557,100288.36342286
1558,95867.0819567435
1559,62975.4203791364
1560,143979.084664473
1561,118975.936429077
1562,132232.368761267
1563,116684.325087863
1564,159227.045381384
1565,151434.752175025
1566,266240.722471538
1567,74293.2735235915
1568,226640.579902219
1569,114769.51047125
1570,140057.226700464
1571,125876.864149227
1572,142230.597799125
1573,217821.979317512
1574,116682.528740077
1575,233006.930141173
1576,246720.635695967
1577,182063.651193826
1578,147639.52910931
1579,141800.180551098
1580,202110.666341453
1581,162117.20665975
1582,140876.002420193
1583,273642.371498871
1584,217441.271363537
1585,136289.484728593
1586,65271.6963591876
1587,104073.827595948
1588,148945.296559054
1589,101902.092239174
1590,135941.024509814
1591,89857.2116913853
1592,117794.606305133
1593,131110.529628847
1594,138282.248435615
1595,103163.436504695
1596,231203.647103499
1597,194840.519815871
1598,224469.012005405
1599,166352.595637896
1600,153720.580039566
1601,65509.3839020918
1602,116598.231226429
1603,67284.0272978282
1604,259571.453349955
1605,235741.993871738
1606,164315.42588342
1607,163110.270469343
1608,217888.135150371
1609,171876.69543421
1610,159854.317142403
1611,145545.260178512
1612,172350.441253228
1613,156214.200906934
1614,117735.144223208
1615,91781.5503953002
1616,79329.4947221932
1617,97012.1728148369
1618,123360.609344474
1619,142572.137090544
1620,151147.219806766
1621,140572.466219839
1622,141669.131222899
1623,252663.673688935
1624,196296.090657601
1625,108747.987811062
1626,166288.344371895
1627,185664.24102795
1628,284346.045997225
1629,189351.678000377
1630,349317.72295564
1631,234223.877659266
1632,246383.051339311
1633,179473.095653734
1634,191136.395271919
1635,182711.415977652
1636,154977.886071196
1637,204551.613250061
1638,196355.206716447
1639,182638.047725141
1640,251865.403504093
1641,179491.928514112
1642,245501.353959652
1643,226555.334057045
1644,243732.768834698
1645,222483.703695671
1646,157090.815004786
1647,157670.066137475
1648,129325.869602552
1649,140507.109963633
1650,123798.170616738
1651,127899.928239131
1652,98689.6650998352
1653,102364.799534369
1654,154723.66361432
1655,132367.040977219
1656,140154.557359534
1657,155600.96457661
1658,151824.295908055
1659,121378.962138693
1660,151691.738978773
1661,416345.03864237
1662,392144.011319635
1663,375073.910878823
1664,502399.31262225
1665,312210.360505516
1666,358859.778071008
1667,375696.716592522
1668,345159.237775976
1669,328143.275361973
1670,345662.886296204
1671,260975.54198774
1672,401820.324571175
1673,294841.122673718
1674,259847.421389924
1675,201178.914654244
1676,192313.402322767
1677,215472.240517804
1678,458616.861206548
1679,386132.578096936
1680,304891.938280021
1681,245962.786931045
1682,342992.228448097
1683,196545.277603661
1684,175963.786895443
1685,176111.078149837
1686,174502.717464426
1687,173495.608842689
1688,188615.104771449
1689,192972.041997789
1690,195815.661814055
1691,188169.217491583
1692,273336.453506439
1693,172808.041855385
1694,185400.090235522
1695,170005.856191071
1696,255680.982638913
1697,175874.631650196
1698,352846.927668177
1699,321584.89763057
1700,261620.480652461
1701,282421.557501168
1702,245833.397205958
1703,246493.899448196
1704,284178.987903314
